Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Type of Orbit;Longitude of GEO (degrees);Perigee (km);Apogee (km);Eccentricity;Inclination (degrees);Period (minutes);Launch Mass (kg.);Dry Mass (kg.);Power (watts);Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Site;Launch Vehicle;COSPAR Number;NORAD Number
OneWeb-0146 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;UK;Vostochny Cosmodrome;Soyuz-2.1b;2020-100AL;47292
OneWeb-0147 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;UK;Vostochny Cosmodrome;Soyuz-2.1b;2020-100AM;47293
OneWeb-0148 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025T ;48059
OneWeb-0149 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025S ;48058
OneWeb-0150 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025F ;48047
OneWeb-0151 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025AA ;48066
OneWeb-0152 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025B ;48043
OneWeb-0153 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025C ;48044
OneWeb-0154 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025D ;48045
OneWeb-0155 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025R ;48057
OneWeb-0156 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025L ;48052
OneWeb-0157 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025P ;48055
OneWeb-0158 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025N ;48054
OneWeb-0159 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025W ;48062
OneWeb-0160 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025U ;48060
OneWeb-0161 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025M ;48053
OneWeb-0162 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025Q ;48056
OneWeb-0163 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025V ;48061
OneWeb-0164 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025X ;48063
OneWeb-0165 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031Z ;48233
OneWeb-0166 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025Z ;48065
OneWeb-0167 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025Y ;48064
OneWeb-0168 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025AC ;48068
OneWeb-0169 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025AM ;48077
OneWeb-0170 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025AB ;48067
OneWeb-0171 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025AE ;48070
OneWeb-0172 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025AF ;48071
OneWeb-0173 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025AD ;48069
OneWeb-0174 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025AG ;48072
OneWeb-0175 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025AH ;48073
OneWeb-0176 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031A ;48210
OneWeb-0177 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025AJ ;48074
OneWeb-0178 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-025AK ;48075
OneWeb-0179 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031C ;48212
OneWeb-0180 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031D ;48213
OneWeb-0181 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031W ;48230
OneWeb-0182 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031U ;48228
OneWeb-0183 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031K ;48219
OneWeb-0184 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031B ;48211
OneWeb-0185 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031L ;48220
OneWeb-0186 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031V ;48229
OneWeb-0187 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031M ;48221
OneWeb-0188 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031X ;48231
OneWeb-0189 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031H ;48217
OneWeb-0190;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;440.0;450.0;0.0007336757153338225;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045AF;48796
OneWeb-0191 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031AF ;48239
OneWeb-0192 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031N ;48222
OneWeb-0193 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031AE ;48238
OneWeb-0194 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031AD ;48237
OneWeb-0195 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031AG ;48240
OneWeb-0196 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031J ;48218
OneWeb-0197 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031AC ;48236
OneWeb-0198 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031G ;48216
OneWeb-0199 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031AA ;48234
OneWeb-0200 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031AL ;48244
OneWeb-0201 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031AH ;48241
OneWeb-0202 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031Q ;48224
OneWeb-0203 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031AB ;48235
OneWeb-0204 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031R ;48225
OneWeb-0205 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031S ;48226
OneWeb-0206 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031T ;48227
OneWeb-0207 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031AJ ;48242
OneWeb-0208 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031AK ;48243
OneWeb-0209 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031F ;48215
OneWeb-0210;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045W;48787
OneWeb-0211;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045A;48767
OneWeb-0212;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045AA;48791
OneWeb-0213;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045Z;48790
OneWeb-0214;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045X;48788
OneWeb-0215;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045AK;48800
OneWeb-0216;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045AL;48801
OneWeb-0217 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031AM ;48245
OneWeb-0218 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031E ;48214
OneWeb-0219 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031P ;48223
OneWeb-0220 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1215.0;1220.0;0.00032948929159802305;87.4;93.5;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-031Y ;48232
OneWeb-0221;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045Y;48789
OneWeb-0222;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045J;48775
OneWeb-0223;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045B;48768
OneWeb-0224;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045AD;48794
OneWeb-0225;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045AJ;48799
OneWeb-0226;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045AC;48793
OneWeb-0227;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045AB;48792
OneWeb-0228;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045P;48780
OneWeb-0229;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045N;48779
OneWeb-0230;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045C;48769
OneWeb-0231;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045R;48782
OneWeb-0232;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045Q;48781
OneWeb-0233;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045AE;48795
OneWeb-0234;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045S;48783
OneWeb-0235;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045E;48771
OneWeb-0236;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045AG;48797
OneWeb-0237;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045D;48770
OneWeb-0238;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045T;48784
OneWeb-0239;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045AM;48802
