Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Type of Orbit;Longitude of GEO (degrees);Perigee (km);Apogee (km);Eccentricity;Inclination (degrees);Period (minutes);Launch Mass (kg.);Dry Mass (kg.);Power (watts);Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Site;Launch Vehicle;COSPAR Number;NORAD Number
USA 288;USA;USA;US Air Force;Military;Communications;;GEO;;150.2;35781.0;35790.0;0.00010674763672593138;0.05;1436.1;6169.0;;;;Lockheed Martin Space Systems;USA;Cape Canaveral;Atlas 5;2018-079A;43651
USA 292;USA;USA;US Air Force;Military;Communications;;GEO;;-94.39;35780.0;35810.0;0.0003557452863749555;6.4;1436.2;6169.0;;;;Lockheed Martin Space Systems;USA;Cape Canaveral;Atlas 5;2019-051A;44481
USA 298;USA;USA;US Air Force ;Military;Communications;;GEO;;0.0;35780.0;35780.0;0.0;0.0;1436.0;6169.0;;;;Lockheed Martin Space Systems;USA;Cape Canaveral;Atlas 5;2020-022B;45465
USA 235;USA;USA;US Air Force;Military;Communications;;GEO;;-120.0;35772.0;35801.0;0.00034395644799734324;2.34;1436.1;6169.0;;;14.0;Lockheed Martin Space Systems;USA;Cape Canaveral;Atlas 5;2012-019A;38254
Aeneas;USA;USA;Department of Homeland Security;Government;Technology Development;;LEO;Equatorial;0.0;480.0;790.0;0.02212705210563883;0.02;97.4;3.0;;;;University of Southern California;USA;Vandenberg AFB;Atlas 5;2012-048C;38760
Aeolus;ESA;ESA;European Space Agency (ESA);Government;Earth Observation;Earth Science;LEO;;0.0;314.0;317.0;0.0002243661655822302;96.7;92.4;1367.0;;;3.0;Airbus Defense and Space;France/UK/Germany/Spain;Guiana Space Center;Vega;2018-066A;43600
Aerocube 11A;USA;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;Polar;0.0;495.0;511.0;0.0011639749745380474;85.03;94.6;4.0;;;;Aerospace Corporation;USA;Rocket Lab Launch Complex 1;Electron;2018-104N;43861
Aerocube 11B;USA;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;Polar;0.0;492.0;511.0;0.0013825220112057047;85.3;94.6;4.0;;;;Aerospace Corporation;USA;Rocket Lab Launch Complex 1;Electron;2018-104A;43849
Aerocube 12A;USA;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;Non-Polar Inclined;0.0;481.0;487.0;0.0004377006127808579;51.6;94.2;4.0;;;;Aerospace Corporation;USA;Cygnus;Nanorack Deployer;2018-046C;43556
Aerocube 12B;USA;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;Non-Polar Inclined;0.0;481.0;487.0;0.0004377006127808579;51.6;94.2;4.0;;;;Aerospace Corporation;USA;Cygnus;Nanorack Deployer;2018-046D;43557
Aerocube 14A;USA;USA;Aerospace Corporation;Military;Technology Development;;LEO;Non-Polar Inclined;0.0;459.0;474.0;0.0010970525853872596;51.6;93.9;;;;;Aerospace Corporation;USA;Cygnus;Nanorack Deployer;2019-071D;45114
Aerocube 14B;USA;USA;Aerospace Corporation;Military;Technology Development;;LEO;Non-Polar Inclined;0.0;459.0;474.0;0.0010970525853872596;51.6;93.9;;;;;Aerospace Corporation;USA;Cygnus;Nanorack Deployer;2019-071F;45116
Aerocube 15A;USA;USA;Aerospace Corporation;Military;Technology Development;;LEO;Non-Polar Inclined;0.0;458.0;474.0;0.0011702750146284377;51.6;93.9;;;;;Aerospace Corporation;USA;Cygnus;Nanorack Deployer;2019-071G;45117
Aerocube 5C;USA;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;Non-Polar Inclined;0.0;500.0;802.0;0.021506907847884917;64.78;97.74;1.5;;;;Aerospace Corporation;USA;Vandenberg AFB;Atlas 5;2015-058B;40965
Aerocube 6A;USA;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;Sun-Synchronous;0.0;614.0;700.0;0.006119254304824249;97.98;97.88;5.0;;;3.0;Aerospace Corporation;USA;Dombarovsky Air Base;Dnepr;2014-033AM;40045
Aerocube 6B;USA;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;Sun-Synchronous;0.0;614.0;700.0;0.006119254304824249;97.98;97.88;5.0;;;3.0;Aerospace Corporation;USA;Dombarovsky Air Base;Dnepr;2014-033AN;40046
Aerocube 7A;USA;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;Non-Polar Inclined;0.0;500.0;802.0;0.021506907847884917;64.6;97.4;2.0;;;;Aerospace Corporation;USA;Vandenberg AFB;Atlas 5;2015-058C;40966
Aerocube 8C;USA;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;Sun-Synchronous;0.0;569.0;584.0;0.0010796804145972792;97.9;96.2;5.0;;;;Aerospace Corporation;USA;Vandenberg AFB;Atlas 5;2016-067F;41853
